avg_box: 0.00010344047619 , has_month: True , has_week: False , has_year: False , heigth: 0.062 , label: 0 , mid_box: 0.000112 , num_alpha: 46 , num_box: 56 , num_int: 0 , num_special: 11 , var_box: 2.29147264739e-09 , width: 0.328 
avg_box: 0.000136949685535 , has_month: False , has_week: False , has_year: False , heigth: 0.110666666667 , label: 0 , mid_box: 0.000130666666667 , num_alpha: 173 , num_box: 212 , num_int: 7 , num_special: 80 , var_box: 4.77197021479e-09 , width: 0.916 
avg_box: 0.000109956043956 , has_month: False , has_week: False , has_year: False , heigth: 0.0813333333333 , label: 0 , mid_box: 0.00012 , num_alpha: 81 , num_box: 91 , num_int: 0 , num_special: 19 , var_box: 1.9933362852e-09 , width: 0.426 
avg_box: 0.000650343262411 , has_month: False , has_week: False , has_year: False , heigth: 0.326666666667 , label: 1 , mid_box: 0.000124666666667 , num_alpha: 195 , num_box: 235 , num_int: 6 , num_special: 52 , var_box: 5.97511321929e-06 , width: 1.004 
avg_box: 0.000145334289813 , has_month: True , has_week: False , has_year: True , heigth: 0.323333333333 , label: 0 , mid_box: 0.00012 , num_alpha: 479 , num_box: 697 , num_int: 26 , num_special: 231 , var_box: 3.23032533069e-08 , width: 1.029 
avg_box: 0.000105176470588 , has_month: False , has_week: False , has_year: False , heigth: 0.088 , label: 0 , mid_box: 0.00012 , num_alpha: 44 , num_box: 51 , num_int: 0 , num_special: 9 , var_box: 2.80708650519e-09 , width: 0.176 
avg_box: 0.000119085399449 , has_month: False , has_week: False , has_year: False , heigth: 0.117333333333 , label: 0 , mid_box: 0.000113333333333 , num_alpha: 125 , num_box: 121 , num_int: 1 , num_special: 54 , var_box: 3.35010565459e-09 , width: 0.323 
avg_box: 0.000113725490196 , has_month: False , has_week: False , has_year: False , heigth: 0.088 , label: 0 , mid_box: 0.00013 , num_alpha: 15 , num_box: 17 , num_int: 0 , num_special: 3 , var_box: 2.67885274894e-09 , width: 0.161 
avg_box: 0.000137056360709 , has_month: True , has_week: False , has_year: False , heigth: 0.146666666667 , label: 0 , mid_box: 0.000130666666667 , num_alpha: 173 , num_box: 207 , num_int: 7 , num_special: 66 , var_box: 4.95407036078e-09 , width: 0.661 
avg_box: 0.000818759776536 , has_month: False , has_week: False , has_year: False , heigth: 0.362666666667 , label: 1 , mid_box: 0.00013 , num_alpha: 194 , num_box: 179 , num_int: 7 , num_special: 66 , var_box: 7.72493199133e-06 , width: 0.808 
avg_box: 0.00136525 , has_month: False , has_week: False , has_year: False , heigth: 0.127333333333 , label: 0 , mid_box: 0.00184066666667 , num_alpha: 8 , num_box: 8 , num_int: 0 , num_special: 1 , var_box: 7.34909715278e-07 , width: 0.25 
